pdu_hex,sequence_count,stored_flag,packet_seconds,met_seconds,battery1_temp_raw,solar_panel1_temp_raw,battery_soc_raw,t_seconds,direwolf,gr_satellites,reference_union
86829cac82a6609882a6a04040e103f00820e94300f132111f03032502000200000000000000000100010000000ca943a942019300000007018c010402030501000075f200000000000000000003bb7a00000000000000000400a91f020100130000083f083707cc06f00767000640000000012000452ed800360cd80000011800000120004c4000000a2f0800d200f0ff3b005d000000c000c000b00101200000000000000000800f0b0b3c0021498000000dd0044001980d0812b807001b4803c802102e9000c809c800000000000000081d16367ceca49efbe9f1056e0ffb2a6e2a4dfffffd84fffe3bd300003de0fc43c8c3fd6eebad0000d8f000000107001208d621b99ff7,10563,0,839982851,829763,2111,1776,93,0,false,false,false
86829cac82a6609882a6a04040e103f00820e94800f132111f08032502000200000000000000000100010000000ca948a947019300000007018c010402030501000075f200000000000000000003bb7b00000000000000000400a924020100130000083e083607ca06f00767000640000000015000422ed800390cd80000014800000150004a4000000a2f0800d200effea6005d000000c000c000b00101200000000000000000800f0b0b3c0021498000000dc0043001980d0812b807001b4803c802102e9000c809c800000000000000081d16367e73769eec0634055896202a4a87ceffffef4efffde3ea0000b1d4fc3fc8c5fd74ebad0000d8f000000107001208db7804df8b,10568,0,839982856,829768,2110,1776,93,5,false,false,false
86829cac82a6609882a6a04040e103f00820e94d00f132111f0d032502000200000000000000000100010000000ca94da94c019300000007018c010402030501000075f300000000000000000003bb8600000000000000000400a929020100130000083f083707cb06ef076600063ff800000188005a2ec800380cd80000018000000188005b3ff8000a2f0800d100efff3a005d000000c000c000b00101200000000000000000800f0b0b3c0021498000000dc0044001980d0812b807001b4803c802102e9000c809c800000000000000081d16367e84be9edc152905469b482a280a94fffff1e9fffe6f08ffffe954fc40c8bafd79ebad0000d8f000000107001208ce97d366fa,10573,0,839982861,829773,2111,1775,93,10,false,false,false
86829cac82a6609882a6a04040e103f00820e96100f132111f21032502000200000000000000000100010000000ca961a960019300000007018c010402030501000075f300000000000000000003bb9900000000000000000400a93d020100130000083f083707cb06ee0764000640000000036000432ed800360cd8000003480001036000494000000a2f0800cf00ecff4c005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000da0040001980d0812b807001b4803c802102e9000c809c800000000000000081d163685dffd9ea8c9730502c5db29afd06200002d85fffed5eaffffe094fc2ac89bfd9cebad0000d8f000000107001208b550b3049c,10593,0,839982881,829793,2111,1774,93,30,false,false,false
86829cac82a6609882a6a04040e103f00820e96600f132111f26032502000200000000000000000100010000000ca966a965019300000007018c010402030501000075f300000000000000000003bb9a00000000000000000400a942020100130000083c083407c806ed076400063f680000045000592ec800360cd8000004380000044801053f5800eb2ea000ce00ebfd74005e000001e801d801e80101200000000000000000820f0b0b3c0021498000000d90040001980d0812b807001b4803c802102e9000c809c800000000000000081d163686281d9e9cfde604f477b32995931100004378fffebdc400000435fc29c88ffd98ebad0000d8f000000107001208b5677f2faf,10598,0,839982886,829798,2108,1773,94,35,false,false,false
86829cac82a6609882a6a04040e103f00820e96b00f132111f2b032502000200000000000000000100010000000ca96ba96a019300000007018c010402030501000075f700000000000000000003bba400000000000000000400a947020100130000083c083407c806ed076300063f70000104c000422ed800360cd8000104b0000004b800f53f6800eb2ea000cd00ebfd7b005e000001e801d801e80101200000000000000000820f0b0b3c0021498000000d8003f001980d0812b807001b4803c802102e9000c809c800000000000000081d163686a4369e91eec304e6848e297ca851fffffc1efffeab4800001e7ffc2dc896fd9cebad0000d8f000000107001208b1d52cf5ff,10603,0,839982891,829803,2108,1773,94,40,false,false,false
86829cac82a6609882a6a04040e103f00820e97000f132111f30032502000200000000000000000100010000000ca970a96f019300000007018c010402030501000075fa00000000000000000003bbb000000000000000000400a94c020100130000083f083707cb06ec0763000640000000055000432ed800390cd8000005280001054000494000000a2f0800cd00eaff55005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d8003f001980d0812b807001b4803c802102e9000c809c800000000000000081d1636872b529e87cf8a04da04982965a1dcffffbd7effff3500ffff9aacfc2fc886fda0ebad0000d8f000000107001208b5db681eac,10608,0,839982896,829808,2111,1772,93,45,false,false,false
86829cac82a6609882a6a04040e103f00820e97500f132111f35032502000200000000000000000100010000000ca975a974019300000007018c010402030501000075fa00000000000000000003bbb800000000000000000400a951020100130000083f083707cb06ec07630006400000010610003a2ee800380cd8000005c8000105f800454000000a2f0800cc00eaff35005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d7003e001980d0812b807001b4803c802102e9000c809c800000000000000081d16368894629e7e50bd04cd7cda294ed99800002c8cfffedb1e00000b67fc24c855fdbbebad0000d8f000000107001208ad9b68ebcd,10613,0,839982901,829813,2111,1772,93,50,false,false,false
86829cac82a6609882a6a04040e103f00820e97f00f132111f3f032502000200000000000000000100010000000ca97fa97e019300000007018c010402030501000075ff00000000000000000003bbc300000000000000000400a95b020100130000083c083407c706eb07620006400000010670003a2ef000380cd800010610000106c800e93f8000e92ea000cb00e8fd540060000001e801d801e80101200000000000000000820f0b0b3c0021498000000d6003d001980d0812b807001b4803c802102e9000c809c800000000000000081d163689d56b9e6cbdc104b632c329264cfeffffa178ffff037200000955fc20c873fdb8ebad0000d8f000000107001208980f577940,10623,0,839982911,829823,2108,1771,96,60,false,false,false
86829cac82a6609882a6a04040e103f00820e98400f132111f44032502000200000000000000000100010000000ca984a983019300000007018c010402030501000075ff00000000000000000003bbc400000000000000000400a960020100130000083f083707cb06eb076100063ff8000106c800432ed800360cd8000106b80001079800493ff8000a2f0800ca00e8ff46005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d5003c001980d0812b807001b4803c802102e9000c809c800000000000000081d16368ae4809e64cc3704abebe82913367600002c66fffee09a00002626fc20c866fdccebad0000d8f0000001070012089c697d7788,10628,0,839982916,829828,2111,1771,93,65,false,false,false
